;;;;;;;;;;;;;;Performance;;;;;;;;;
Rk;Season;Team;Comp;W;MP;W;D;L;Pts;Pts/MP;LgRank;Min;Subs;GF;GA;GD;Poss;CS;CS%;G-PK;PK;PKatt;PKm
1;2016-2017;Monaco;fr Ligue 1;30;38;30;5;3;95;2.50;1st;3,42;112;107;31;76;51.9;17;44.7;92;11;11;0
2;2015-2016;Paris S-G;fr Ligue 1;30;38;30;6;2;96;2.53;1st;3,42;111;102;19;83;66.5;22;57.9;95;6;8;2
3;2018-2019;Paris S-G;fr Ligue 1;29;38;29;4;5;91;2.39;1st;3,42;109;105;35;70;63.7;17;44.7;93;10;12;2
4;2017-2018;Paris S-G;fr Ligue 1;29;38;29;6;3;93;2.45;1st;3,42;105;108;29;79;66.3;18;47.4;93;7;9;2
5;2022-2023;Paris S-G;fr Ligue 1;27;38;27;4;7;85;2.24;1st;3,42;149;89;40;49;60.7;13;34.2;81;5;7;2
6;2016-2017;Paris S-G;fr Ligue 1;27;38;27;6;5;87;2.29;2nd;3,42;111;83;27;56;65.3;21;55.3;70;9;10;1
7;2021-2022;Paris S-G;fr Ligue 1;26;38;26;8;4;86;2.26;1st;3,42;140;90;36;54;63.0;13;34.2;81;7;8;1
8;2020-2021;Paris S-G;fr Ligue 1;26;38;26;4;8;82;2.16;2nd;3,42;160;86;28;58;63.1;19;50.0;72;12;13;1
9;2022-2023;Lens;fr Ligue 1;25;38;25;9;4;84;2.21;2nd;3,42;169;68;29;39;55.6;15;39.5;60;6;9;3
10;2020-2021;Lille;fr Ligue 1;24;38;24;11;3;83;2.18;1st;3,42;169;64;23;41;53.8;21;55.3;57;5;5;0
11;2020-2021;Monaco;fr Ligue 1;24;38;24;6;8;78;2.05;3rd;3,42;180;76;42;34;55.8;15;39.5;64;12;15;3
12;2017-2018;Monaco;fr Ligue 1;24;38;24;8;6;80;2.11;2nd;3,42;111;85;45;40;50.9;14;36.8;76;7;8;1
13;2014-2015;Paris S-G;fr Ligue 1;24;38;24;11;3;83;2.18;1st;3,42;101;83;36;47;60.4;13;34.2;67;13;14;1
14;2017-2018;Lyon;fr Ligue 1;23;38;23;9;6;78;2.05;3rd;3,42;108;87;43;44;55.6;15;39.5;79;6;7;1
15;2023-2024;Paris S-G;fr Ligue 1;22;34;22;10;2;76;2.24;1st;3,06;141;81;33;48;65.2;12;35.3;71;7;9;2
16;2022-2023;Marseille;fr Ligue 1;22;38;22;7;9;73;1.92;3rd;3,42;163;67;40;27;56.7;10;26.3;55;6;7;1
17;2020-2021;Lyon;fr Ligue 1;22;38;22;10;6;76;2.00;4th;3,42;175;81;43;38;54.9;11;28.9;65;11;11;0
18;2019-2020;Paris S-G;fr Ligue 1;22;27;22;2;3;68;2.52;1st;2,43;79;75;24;51;65.2;14;51.9;65;6;8;2
19;2018-2019;Lille;fr Ligue 1;22;38;22;9;7;75;1.97;2nd;3,42;112;68;33;35;51.4;15;39.5;55;11;13;2
20;2017-2018;Marseille;fr Ligue 1;22;38;22;11;5;77;2.03;4th;3,42;113;80;47;33;57.8;14;36.8;74;5;8;3
21;2016-2017;Nice;fr Ligue 1;22;38;22;12;4;78;2.05;3rd;3,42;85;63;36;27;58.9;13;34.2;57;6;8;2
22;2014-2015;Lyon;fr Ligue 1;22;38;22;9;7;75;1.97;2nd;3,42;112;72;33;39;56.9;16;42.1;60;9;12;3
23;2022-2023;Rennes;fr Ligue 1;21;38;21;5;12;68;1.79;4th;3,42;174;69;39;30;55.4;13;34.2;63;3;3;0
